lat,long,subbasin
43.9851,-83.8078,0a
43.9941,-83.8081,0a
43.9943,-83.7956,0a
43.9946,-83.783,0a
43.9855,-83.7827,0a
43.9857,-83.7702,0a
43.986,-83.7577,0a
43.9769,-83.7574,0a
43.9772,-83.7448,0a
43.9774,-83.7323,0a
43.9864,-83.7326,0a
43.9866,-83.72,0a
43.9868,-83.7075,0a
43.9958,-83.7078,0a
43.996,-83.6952,0a
43.987,-83.6949,0a
43.9872,-83.6824,0a
43.9874,-83.6698,0a
43.9784,-83.6696,0a
43.9786,-83.657,0a
43.9788,-83.6445,0a
43.9878,-83.6448,0a
43.9876,-83.6573,0a
43.9967,-83.6576,0a
44.0057,-83.6579,0a
44.0147,-83.6582,0a
44.0149,-83.6456,0a
44.0239,-83.6459,0a
44.033,-83.6462,0a
44.0332,-83.6336,0a
44.0422,-83.6339,0a
44.0424,-83.6213,0a
44.0426,-83.6088,0a
44.0428,-83.5962,0a
44.0518,-83.5965,0a
44.052,-83.5839,0a
44.0522,-83.5714,0a
44.0524,-83.5588,0a
44.0614,-83.5591,0a
44.0704,-83.5594,0a
44.0795,-83.5596,0a
44.0885,-83.5599,0a
44.0887,-83.5473,0a
44.0977,-83.5476,0a
44.0979,-83.535,0a
44.1069,-83.5353,0a
44.116,-83.5356,0a
44.125,-83.5358,0a
44.134,-83.5361,0a
44.143,-83.5364,0a
44.1521,-83.5366,0a
44.1611,-83.5369,0a
44.1701,-83.5372,0a
44.1703,-83.5246,0a
44.1793,-83.5248,0a
44.1883,-83.5251,0a
44.1974,-83.5254,0a
44.2064,-83.5256,0a
44.2154,-83.5259,0a
44.2156,-83.5133,0a
44.2246,-83.5136,0a
44.2336,-83.5138,0a
44.2427,-83.5141,0a
44.2429,-83.5015,0a
44.2519,-83.5018,0a
44.2609,-83.502,0a
44.2611,-83.4894,0a
44.2701,-83.4897,0a
44.2703,-83.4771,0a
44.2705,-83.4645,0a
44.2707,-83.4519,0a
44.2709,-83.4393,0a
44.271,-83.4267,0a
44.262,-83.4264,0a
44.253,-83.4262,0a
44.244,-83.4259,0a
44.2441,-83.4133,0a
44.2532,-83.4136,0a
44.2622,-83.4138,0a
44.2624,-83.4012,0a
44.2714,-83.4015,0a
44.2804,-83.4017,0a
44.2806,-83.3891,0a
44.2896,-83.3893,0a
44.2898,-83.3767,0a
44.2988,-83.377,0a
44.299,-83.3644,0a
44.308,-83.3646,0a
44.3082,-83.352,0a
44.3172,-83.3522,0a
44.3174,-83.3396,0a
44.3264,-83.3398,0a
44.3266,-83.3272,0a
44.3176,-83.327,0a
44.3177,-83.3144,0a
44.3268,-83.3146,0a
44.3358,-83.3148,0a
44.3448,-83.3151,0a
44.345,-83.3025,0a
44.354,-83.3027,0a
44.363,-83.3029,0a
44.372,-83.3032,0a
44.3811,-83.3034,0a
44.3901,-83.3036,0a
44.3991,-83.3039,0a
44.4081,-83.3041,0a
44.4172,-83.3043,0a
44.4262,-83.3046,0a
44.4352,-83.3048,0a
44.4443,-83.305,0a
44.4533,-83.3053,0a
44.4623,-83.3055,0a
44.4713,-83.3057,0a
44.4715,-83.2931,0a
44.4805,-83.2933,0a
44.4895,-83.2935,0a
44.4986,-83.2938,0a
44.5076,-83.294,0a
44.5166,-83.2942,0a
44.5256,-83.2945,0a
44.5347,-83.2947,0a
44.5348,-83.282,0a
44.5439,-83.2823,0a
44.5529,-83.2825,0a
44.5619,-83.2827,0a
44.5617,-83.2954,0a
44.5708,-83.2956,0a
44.5798,-83.2959,0a
44.5888,-83.2961,0a
44.5978,-83.2963,0a
44.598,-83.2837,0a
44.607,-83.2839,0a
44.6161,-83.2841,0a
44.6251,-83.2844,0a
44.6253,-83.2717,0a
44.6343,-83.2719,0a
44.6433,-83.2721,0a
44.6435,-83.2595,0a
44.6525,-83.2597,0a
44.6615,-83.2599,0a
44.6705,-83.2601,0a
